"","Sample_ID","Species","Treatment","Chlorophyll_Content","Shoot_Length_cm"
"1","Ar_Control_01","Arabidopsis thaliana","Control",22.11,9.96
"2","Ar_Control_02","Arabidopsis thaliana","Control",16.31,11.43
"3","Ar_Control_03","Arabidopsis thaliana","Control",19.09,5.92
"4","Ar_Control_04","Arabidopsis thaliana","Control",19.9,7.58
"5","Ar_Control_05","Arabidopsis thaliana","Control",19.21,7.8
"6","Ar_Control_06","Arabidopsis thaliana","Control",17.68,8.95
"7","Ar_Control_07","Arabidopsis thaliana","Control",22.53,7.57
"8","Ar_Control_08","Arabidopsis thaliana","Control",17.72,4.02
"9","Ar_Control_09","Arabidopsis thaliana","Control",24.06,4.34
"10","Ar_Control_10","Arabidopsis thaliana","Control",17.81,9.98
"11","Or_Control_01","Oryza sativa","Control",26.77,26.82
"12","Or_Control_02","Oryza sativa","Control",20.87,27.82
"13","Or_Control_03","Oryza sativa","Control",27.31,29.14
"14","Or_Control_04","Oryza sativa","Control",32.86,22.56
"15","Or_Control_05","Oryza sativa","Control",35.58,27.02
"16","Or_Control_06","Oryza sativa","Control",26.28,18.13
"17","Or_Control_07","Oryza sativa","Control",26.97,21.86
"18","Or_Control_08","Oryza sativa","Control",20.95,21.6
"19","Or_Control_09","Oryza sativa","Control",29.84,15.34
"20","Or_Control_10","Oryza sativa","Control",25.44,25.14
"21","Ze_Control_01","Zea mays","Control",36.03,41.93
"22","Ze_Control_02","Zea mays","Control",33.19,35.3
"23","Ze_Control_03","Zea mays","Control",38.79,49.45
"24","Ze_Control_04","Zea mays","Control",31.37,43.86
"25","Ze_Control_05","Zea mays","Control",28.16,40.54
"26","Ze_Control_06","Zea mays","Control",37.16,41.66
"27","Ze_Control_07","Zea mays","Control",30.94,44.08
"28","Ze_Control_08","Zea mays","Control",42.22,40.54
"29","Ze_Control_09","Zea mays","Control",32.84,22.04
"30","Ze_Control_10","Zea mays","Control",38.28,41.71
"31","Ar_Experimental_01","Arabidopsis thaliana","Experimental",23.9,10.44
"32","Ar_Experimental_02","Arabidopsis thaliana","Experimental",25.56,11.86
"33","Ar_Experimental_03","Arabidopsis thaliana","Experimental",26.75,12.94
"34","Ar_Experimental_04","Arabidopsis thaliana","Experimental",29.2,10.57
"35","Ar_Experimental_05","Arabidopsis thaliana","Experimental",22.82,11.19
"36","Ar_Experimental_06","Arabidopsis thaliana","Experimental",28.91,12.87
"37","Ar_Experimental_07","Arabidopsis thaliana","Experimental",26.01,13.15
"38","Ar_Experimental_08","Arabidopsis thaliana","Experimental",28.12,12.7
"39","Ar_Experimental_09","Arabidopsis thaliana","Experimental",27.76,10.67
"40","Ar_Experimental_10","Arabidopsis thaliana","Experimental",27.16,10.35
"41","Or_Experimental_01","Oryza sativa","Experimental",44.05,40.57
"42","Or_Experimental_02","Oryza sativa","Experimental",39.03,33.1
"43","Or_Experimental_03","Oryza sativa","Experimental",38.35,37.6
"44","Or_Experimental_04","Oryza sativa","Experimental",37.52,40.56
"45","Or_Experimental_05","Oryza sativa","Experimental",33.22,30.56
"46","Or_Experimental_06","Oryza sativa","Experimental",40.45,31.56
"47","Or_Experimental_07","Oryza sativa","Experimental",37.13,30.47
"48","Or_Experimental_08","Oryza sativa","Experimental",37.27,29.16
"49","Or_Experimental_09","Oryza sativa","Experimental",41.73,35.32
"50","Or_Experimental_10","Oryza sativa","Experimental",41.29,37.61
"51","Ze_Experimental_01","Zea mays","Experimental",56,59.85
"52","Ze_Experimental_02","Zea mays","Experimental",55.22,60.65
"53","Ze_Experimental_03","Zea mays","Experimental",44.98,57.09
"54","Ze_Experimental_04","Zea mays","Experimental",59.24,56.97
"55","Ze_Experimental_05","Zea mays","Experimental",46.67,50.03
"56","Ze_Experimental_06","Zea mays","Experimental",50.53,57.71
"57","Ze_Experimental_07","Zea mays","Experimental",47.89,56.92
"58","Ze_Experimental_08","Zea mays","Experimental",49.39,76.21
"59","Ze_Experimental_09","Zea mays","Experimental",50.94,51.83
"60","Ze_Experimental_10","Zea mays","Experimental",50.6,60.82
